Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
Sample Interval,4.00E-07,s,1.71E-11,-2.00E-02,,Sample Interval,4.00E-07,s,1.71E-11,0
Trigger Point,759.9999574,Samples,4.00E-07,-2.00E-02,,Trigger Point,759.9999574,Samples,4.00E-07,8.00E-02
,,,8.00E-07,-2.00E-02,,,,,8.00E-07,0
,,,1.20E-06,-2.00E-02,,,,,1.20E-06,1.60E-01
,,,1.60E-06,0,,,,,1.60E-06,-8.00E-02
Source,CH1,,2.00E-06,0,,Source,CH2,,2.00E-06,8.00E-02
Vertical Units,Volts,,2.40E-06,-2.00E-02,,Vertical Units,Volts,,2.40E-06,8.00E-02
Vertical Scale,5.00E-01,,2.80E-06,-2.00E-02,,Vertical Scale,2,,2.80E-06,3.27999997
Vertical Offset,0,,3.20E-06,0,,Vertical Offset,0,,3.20E-06,2.87999988
Horizontal Units,s,,3.60E-06,-2.00E-02,,Horizontal Units,s,,3.60E-06,2.96000004
Horizontal Scale,1.00E-04,,4.00E-06,-4.00E-02,,Horizontal Scale,1.00E-04,,4.00E-06,2.96000004
Pt Fmt,Y,,4.40E-06,-4.00E-02,,Pt Fmt,Y,,4.40E-06,3.03999996
Yzero,-3,,4.80E-06,0,,Yzero,-2,,4.80E-06,2.87999988
Probe Atten,1,,5.20E-06,0,,Probe Atten,1,,5.20E-06,2.96000004
,,,5.60E-06,0,,,,,5.60E-06,2.96000004
Note,TDS 1002B - 4:46:18 PM   2/22/2023,,6.00E-06,0,,Note,TDS 1002B - 4:46:18 PM   2/22/2023,,6.00E-06,2.96000004
,,,6.40E-06,-2.00E-02,,,,,6.40E-06,2.87999988
,,,6.80E-06,-2.00E-02,,,,,6.80E-06,2.96000004
,,,7.20E-06,0,,,,,7.20E-06,2.96000004
,,,7.60E-06,0,,,,,7.60E-06,2.96000004
,,,8.00E-06,-2.00E-02,,,,,8.00E-06,2.96000004
,,,8.40E-06,-4.00E-02,,,,,8.40E-06,2.96000004
,,,8.80E-06,2.00E-02,,,,,8.80E-06,2.96000004
,,,9.20E-06,-4.00E-02,,,,,9.20E-06,2.87999988
